6;Belu;12;Tasifeto Timur;8;Silawan;Waspada;Siaga
6;Belu;12;Tasifeto Timur;1;Bauho;Aman;Aman
6;Belu;12;Tasifeto Timur;2;Dafala;Aman;Aman
6;Belu;12;Tasifeto Timur;3;Fatuba'a;Aman;Aman
6;Belu;12;Tasifeto Timur;4;Halimodok;Aman;Aman
6;Belu;12;Tasifeto Timur;5;Manleten;Aman;Aman
6;Belu;12;Tasifeto Timur;6;Sarabau;Aman;Aman
6;Belu;12;Tasifeto Timur;7;Sadi;Aman;Aman
6;Belu;12;Tasifeto Timur;9;Takirin;Aman;Aman
6;Belu;12;Tasifeto Timur;10;Tialai;Aman;Aman
6;Belu;12;Tasifeto Timur;11;Tulakadi;Aman;Aman
6;Belu;12;Tasifeto Timur;12;Umaklaran;Aman;Aman
7;Alor;1;Alor Barat Laut;2;Alaang;Aman;Aman
7;Alor;1;Alor Barat Laut;14;O A Mate;Aman;Aman
7;Alor;2;Alor Barat Daya;10;Pintu Mas;Aman;Aman
7;Alor;4;Alor Tengah Utara;1;Alimebung;Aman;Aman
7;Alor;4;Alor Tengah Utara;11;Nurbenlelang;Aman;Aman
7;Alor;7;Kabola;4;Pante Deera;Aman;Aman
7;Alor;10;Pantar;6;Helandohi;Aman;Aman
7;Alor;11;Pantar Barat;4;Ilu;Aman;Aman
7;Alor;12;Pantar Barat Laut;1;Allumang;Aman;Aman
7;Alor;12;Pantar Barat Laut;2;Beangonong;Aman;Aman
7;Alor;12;Pantar Barat Laut;3;Kalondama Barat;Aman;Aman
7;Alor;12;Pantar Barat Laut;4;Kalondama Tengah;Aman;Aman
7;Alor;12;Pantar Barat Laut;5;Kayang;Aman;Aman
7;Alor;12;Pantar Barat Laut;6;Lamma;Aman;Aman
7;Alor;12;Pantar Barat Laut;7;Marisa;Aman;Aman
7;Alor;14;Pantar Timur;2;Bunga Bali;Aman;Aman
7;Alor;14;Pantar Timur;11;Treweng;Aman;Aman
7;Alor;15;Pulau Pura;4;Pura Tengah;Aman;Aman
8;Lembata;1;Atadei;1;Atakore;Aman;Aman
8;Lembata;1;Atadei;4;Ile Kerbau;Aman;Aman
8;Lembata;1;Atadei;14;Tubuk Rajan;Aman;Aman
8;Lembata;2;Buyasari;1;Atu Wa'lupang;Aman;Aman
8;Lembata;2;Buyasari;2;Atulaleng;Aman;Aman
8;Lembata;2;Buyasari;3;Bareng;Aman;Aman
8;Lembata;2;Buyasari;4;Bean;Aman;Aman
8;Lembata;2;Buyasari;5;Benihading I;Aman;Aman
8;Lembata;2;Buyasari;6;Benihading II;Aman;Aman
8;Lembata;2;Buyasari;7;Buriwutung;Aman;Aman
8;Lembata;2;Buyasari;8;Kalikur;Aman;Aman
8;Lembata;2;Buyasari;9;Kalikur WL.;Aman;Aman
8;Lembata;2;Buyasari;10;Kaohua;Aman;Aman
8;Lembata;2;Buyasari;11;Leuburi;Aman;Aman
8;Lembata;2;Buyasari;12;Leuwohung;Aman;Aman
8;Lembata;2;Buyasari;13;Loyobohor;Aman;Aman
8;Lembata;2;Buyasari;14;Mampir;Aman;Aman
8;Lembata;2;Buyasari;15;Panama;Aman;Aman
8;Lembata;2;Buyasari;16;Roho;Aman;Aman
8;Lembata;2;Buyasari;17;Rumang;Aman;Aman
8;Lembata;2;Buyasari;18;Tobotani;Aman;Aman
8;Lembata;2;Buyasari;19;Tubung Walang;Aman;Aman
8;Lembata;2;Buyasari;20;Umaleu;Aman;Aman
8;Lembata;3;Ile Ape;8;Laranwuntun;Aman;Aman
8;Lembata;3;Ile Ape;12;Plilolon;Aman;Aman
8;Lembata;4;Ile Ape Timur;2;Bao Lai Duli;Aman;Aman
8;Lembata;6;Nagawutung;1;Atawai;Aman;Aman
8;Lembata;6;Nagawutung;2;Babokerong;Aman;Aman
8;Lembata;6;Nagawutung;3;Baobolak;Aman;Aman
8;Lembata;6;Nagawutung;4;Belabaja;Aman;Aman
8;Lembata;6;Nagawutung;5;Boli Bean;Aman;Aman
8;Lembata;6;Nagawutung;6;Duawutun;Aman;Aman
8;Lembata;6;Nagawutung;7;Idalolong;Aman;Aman
8;Lembata;6;Nagawutung;8;Ile Boli;Aman;Aman
8;Lembata;6;Nagawutung;9;Labalimut;Aman;Aman
8;Lembata;6;Nagawutung;10;Liwulagang;Aman;Aman
8;Lembata;6;Nagawutung;11;Lolong;Aman;Aman
8;Lembata;6;Nagawutung;12;Lusiduawutun;Aman;Aman
8;Lembata;6;Nagawutung;13;Pasir Putih;Aman;Aman
8;Lembata;6;Nagawutung;14;Penikene;Aman;Aman
8;Lembata;6;Nagawutung;15;Ria Bao;Aman;Aman
8;Lembata;6;Nagawutung;16;Tewaowutung;Aman;Aman
8;Lembata;6;Nagawutung;17;Warawatung;Aman;Aman
8;Lembata;6;Nagawutung;18;Wuakerong;Aman;Aman
8;Lembata;7;Nubatukan;5;Lite Ulumado;Aman;Aman
8;Lembata;7;Nubatukan;6;Nuba Mado;Aman;Aman
8;Lembata;8;Omesuri;18;Peusawah;Aman;Aman
8;Lembata;8;Omesuri;21;Walangsawah;Aman;Aman
8;Lembata;9;Wulandoni;5;Imulolong;Aman;Aman
9;Flores Timur;1;Adonara;6;Nisanulan;Aman;Aman
9;Flores Timur;1;Adonara;8;Tikatukang;Aman;Aman
9;Flores Timur;2;Adonara Barat;1;Bugalima;Aman;Aman
9;Flores Timur;2;Adonara Barat;5;Duwanur;Aman;Aman
9;Flores Timur;2;Adonara Barat;8;Ilepati;Aman;Aman
