;PESAWARAN;; Kedondong;9;Sukamaju;Aman;Aman
;PESAWARAN;; Kedondong;12;Way Kepaayang;Siaga;Siaga
;PESAWARAN;3; Margah Punduh;1;Kampung Baru;Aman;Siaga
;PESAWARAN;; Margah Punduh;2;Kekatang;Aman;Aman
;PESAWARAN;; Margah Punduh;3;Kunyaian;Aman;Aman
;PESAWARAN;; Margah Punduh;4;Maja;Siaga;Siaga
;PESAWARAN;; Margah Punduh;5;Pekon Ampai;Aman;Siaga
;PESAWARAN;; Margah Punduh;6;Penyandingan;Aman;Siaga
;PESAWARAN;; Margah Punduh;7;Pulau Pahawang;Aman;Siaga
;PESAWARAN;; Margah Punduh;8;Sukajaya Punduh;Aman;Siaga
;PESAWARAN;; Margah Punduh;9;Tajur;Aman;Aman
;PESAWARAN;; Margah Punduh;10;Umbul Limus;Aman;Aman
;PESAWARAN;; Negeri Katon;2;Halanagan Ratu;Siaga;Siaga
;PESAWARAN;; Negeri Katon;4;Kalirejo;Aman;Aman
;PESAWARAN;; Negeri Katon;5;Kalangrejo;Aman;Aman
;PESAWARAN;; Negeri Katon;14;Roworejo;Aman;Aman
;PESAWARAN;; Negeri Katon;19;Trisnomaju;Aman;Aman
;PESAWARAN;; Padang Cermin;9;Tambanagan;Aman;Aman
;PESAWARAN;; Punduh Pidada;8;Rubasa;Aman;Aman
;PESAWARAN;; Punduh Pidada;10;Sukamaju;Aman;Aman
;PESAWARAN;; Tegineneng;4;Geming;Aman;Aman
;PESAWARAN;; Tegineneng;9;Margomulyo;Aman;Siaga
;PESAWARAN;; Tegineneng;10;Margorejo;Aman;Aman
;PESAWARAN;; Tegineneng;11;Negera Ratu Wates;Aman;Siaga
;PESAWARAN;; Tegineneng;14;Sinar Jati;Aman;Siaga
;PESAWARAN;; Way Lima;2;Batu Raja;Aman;Aman
;PESAWARAN;; Way Lima;4;Gedung Dalom;Siaga;Siaga
;PESAWARAN;; Way Lima;6;Kuta Dalom;Siaga;Siaga
;PESAWARAN;; Way Khilau;8;Sukajaya;Aman;Siaga
;PESAWARAN;; Way Ratai;2;Bunut Sebrang;Aman;Aman
;PRINGSEWU;; Adiluwih;2;Bandung Barat;Aman;Aman
;PRINGSEWU;; Adiluwih;7;Sinar Waya;Aman;Aman
;PRINGSEWU;; Adiluwih;11;Tritunggal Mulya;Aman;Aman
;PRINGSEWU;; Ambarawa;6;Margo Dadi;Aman;Aman
;PRINGSEWU;; Ambarawa;8;Tanjunganom;Aman;Aman
;PRINGSEWU;; Banyumas;5;Mulyorejo;Siaga;Siaga
;PRINGSEWU;; Banyumas;6;Nusawungu;Aman;Aman
;PRINGSEWU;; Banyumas;10;Sukamuya;Aman;Aman
;PRINGSEWU;; Gading Rejo;2;Bulukarto;Aman;Aman
;PRINGSEWU;5;Pagelaran;1;Bumiratu;Siaga;Siaga
;PRINGSEWU;;Pagelaran;2;Bumirejo;Aman;Aman
;PRINGSEWU;;Pagelaran;3;Candiretno;Aman;Aman
;PRINGSEWU;;Pagelaran;5;Gemahripah;Siaga;Siaga
;PRINGSEWU;;Pagelaran;6;Gumukmas;Aman;Aman
;PRINGSEWU;;Pagelaran;10;Padangrejo;Aman;Aman
